ID_REF	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
225717_at	4440.4	2239	2359.6	3721.7	2029.9	2585.8	2365.4	1581.8	2130.3
225718_at	2429.2	978.9	2262.1	2259.5	3432.9	3746.9	2722.8	1942.5	2312.2
225719_s_at	1658.8	2221.4	1952.1	1629.6	2836.4	2734.8	1934.6	1721.2	2481.3
225720_at	18854.5	10573.8	5393.4	4455.9	6933.5	4278.1	3195.5	1399.6	9072.8
225721_at	20101.3	12047.6	6722.8	5996.2	9607.2	8628.2	5324.7	2896.8	14720.5
225722_at	951.9	759.7	715.3	616.5	1452.5	1480.3	1555.6	1165.4	1082.5
225723_at	2037.1	2101.1	2719.9	1700.4	1148.9	1568.5	1664.2	1671.7	1440.4
225724_at	1074.3	1030.1	1315.5	1784.6	647.8	700.2	680.5	597.1	542.2
225725_at	17719	11719.1	8905.6	12846.4	9377.3	9827.4	7483.1	10075	9641.2
225726_s_at	235.4	154.7	258.9	275.1	280.2	370.6	112.8	103	156.1
225727_at	69.4	28.2	5.7	35.2	26.1	46.9	44	14.4	29.5
225728_at	14070.8	10327.1	10806.5	11289.6	11393.9	6898.1	8512.4	11680.6	13790.1
225729_at	2007.5	2264.7	1662.4	2020.8	2245.6	1708.3	2197.9	2140.8	2501
225730_s_at	3081	4723.8	3361.6	3943.3	1303.6	1375.6	1396.2	1665.2	1634
225731_at	3315.1	3003.5	3379.6	2987.2	1823.8	1526.1	2110.2	2118.8	2786.6
225732_at	3683	3294.6	4043.2	4404.7	1999.1	1239.9	2183.7	1902.4	2151
225733_at	930.9	1029.8	1593.1	1516	904.9	1116.4	821.9	959.2	904.9
225734_at	3172.2	2210.3	2471	3606.8	2495.7	2565.4	1540.2	2533.1	2759.4
225735_at	1018.8	1225	1103.2	1105.4	873.5	956.7	802.4	818.4	1204.1
225736_at	2405.3	1521.4	1784.5	1887.5	3922.9	2691.6	2789.6	3024.5	3485.4
225737_s_at	1053.6	817.5	890.8	1135.3	1126.7	1095.3	1030.1	1531.8	1430.3
225738_at	1269.2	1011	1057.5	932.7	1751.8	1049	2045.9	1609.8	1597.6
