geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
PAF1	1165.3	996.7	1340.8	1427.3	1598.3	1155	880.1	1542.4	480.5	1196.8
PAFAH1B1	4286.175	4759.4	4379.975	3934.675	4565.725	4051.5	2996.6	4703.1	3117.525	4309.85
PAFAH1B2	2415.76666666667	1862	2787.1	2643.76666666667	2399.76666666667	3825.4	3139.03333333333	3083.8	2581	3123.43333333333
PAFAH1B3	692.4	897.1	539.1	424.1	841.5	472.4	597.9	445.1	1222.6	844.1
PAFAH2	414.9	442.1	416.25	413.15	562.3	372.2	602.05	557.8	493.3	589.25
PAG1	151.733333333333	98	68.0666666666667	128.866666666667	92.9666666666667	103.933333333333	182.8	122.766666666667	74.4	64.5666666666667
PAGE1	90.6	32.9	80.3	54.9	62.1	85.8	225.6	149.9	109.2	20.7
PAGE4	95.3	250.9	95.4	116.5	108.6	156.3	530.4	125.6	33.4	211.8
PAGE5	11.8	25.5	5.9	6.8	12.9	15.9	72.2	28.4	14.6	33.3
PAGR1	471.6	481.633333333333	319.633333333333	319.066666666667	525.933333333333	511.1	296.266666666667	274.033333333333	454.266666666667	256.533333333333
PAICS	4074.73333333333	5211.13333333333	2002.53333333333	2761.76666666667	3953.43333333333	3959.4	4122.63333333333	2729.33333333333	4915.56666666667	3159.3
PAIP1	3481.86	4044.94	3917.82	4163.06	4233	2862	2320.98	2649.34	2976.18	2933.38
PAIP2	4722.8	4755.23333333333	5870.8	5644.33333333333	5803.6	5018.1	4836.9	4246.03333333333	5381.23333333333	4946.43333333333
PAIP2B	47.6	281.4	113.2	217.5	26.6	56.1	120.4	35	43.1	80.1
PAK1	541.9	693.825	595.15	484.225	506.05	484.275	545.675	648.975	499.1	471.2
PAK1IP1	1274.6	1078.3	1602.9	1170.3	1579	1201	1206.9	1194.5	1073.6	1178.2
PAK2	1635.7	2389.03333333333	1307.36666666667	1363.75	1655.86666666667	1811.06666666667	1751.58333333333	2041.75	1717.53333333333	1997.81666666667
PAK3	62.05	206.8	138.9	135.25	131.25	154.7	414.85	36.95	41.85	161.3
PAK4	923.033333333333	1085.56666666667	676.166666666667	495.833333333333	697.866666666667	999.866666666667	577.2	1074.9	971.6	1106.06666666667
PAK6	47.65	60.9	40.15	81.2	182.3	83.45	80.95	39.5	127.75	160.35
PAK7	15	55.9	71.75	34.25	31.5	26.5	114.55	43.75	48.4	114.6
PALB2	1229.5	991.8	834.5	755.2	1028.2	807.7	706.6	980.7	886.6	642.8
PALD1	25	110.9	69.4	115.4	54.9	108.6	93.5	29.4	148.4	148.7
PALLD	14642.025	16645.9	16365.375	15404.9	18720.25	23407.375	21528.525	22775.625	14197.25	25009.7
PALM	107.1	342.4	711	40.1	349.3	776.3	493	373.4	839.9	837.6
PALM2	402.9	435.1	216	153.3	169.1	373.3	573.6	265.6	232.6	384.4
PALM3	37.2	20.6	35.8	31.4	28.9	55.7	419.3	31.6	44.7	16.4
PALMD	327.633333333333	43.5666666666667	279.3	471.766666666667	337.233333333333	72.1	272.166666666667	388.2	77.3666666666667	165.166666666667
PAM	16670.0333333333	12271.7666666667	16424.2666666667	22713.5666666667	13780.4666666667	17105.7	17193.5666666667	20043.9666666667	17539.9	15794.9
PAM16	1152.1	1249.8	823.2	781	1124.6	1613.6	1733.7	1255.6	1671.6	1061.4
PAMR1	1990.4	1470.1	2342.8	7882.8	941.1	1326.5	1447.6	937.9	1823.8	970.7
PAN2	337.4	627.4	600.1	846.7	545.1	878.2	1310.1	749.1	1116	881.4
PAN3	2743.4	3264.8	3353.2	3115.8	2870.6	2596	2062.5	1921.3	2892	2023
PAN3-AS1	241.3	146.2	108.6	128.2	109.4	241.8	350.4	69.5	215.4	10.9
PANK1	320.3	459.9	551	612.3	596	761.6	488.4	446.9	490.4	266.5
PANK2	795.85	813.95	894	803.583333333333	873.033333333333	768.8	646.816666666667	627.833333333333	424.3	661.4
PANK3	1788.4	2152.8	1984.9	1903.5	2202.6	2249.9	1573.15	1698.9	1743.9	2053.75
PANK4	1127.7	1461.6	1401.1	1447.3	1566.6	1694.4	1618.8	1086.4	1480.2	1411.4
PANX1	1994.9	2415.075	1386.15	1821.375	2060.225	2764.9	3298.5	1497.6	1909.25	2609.875
PANX2	90.5333333333333	148.166666666667	97.1666666666667	104.633333333333	142.966666666667	372.066666666667	448.1	254.3	344.3	231.066666666667
PANX3	96	57.4	61.1	4.6	15.5	16.3	199.4	20.1	70.3	88.2
PAOX	133.1	134.525	142.7	104.475	186.9	262.325	413.4	108.15	223.45	190.175
PAPD4	1545.3	1345.4	1362.36666666667	1372.66666666667	1077.1	984.6	957.766666666667	1058.43333333333	1430.86666666667	1048.2
PAPD5	1102.15	1590.1	1253.45	1527.65	1222.5	1697.4	1714.05	1119.5	1301.9	1364.5
PAPD7	2763.3	3206.6	3107.5	3659.5	3454.7	3385.7	4119.6	2208.2	2949.6	2055.9
PAPLN	141.95	134.45	109.6	160.6	163.7	219	332.7	82.9	146.15	154.1
PAPOLA	3510.33333333333	3833	3664.75	3682.01666666667	4354.56666666667	2905.91666666667	2341.58333333333	3123.33333333333	3265.23333333333	3177.38333333333
PAPOLB	55.65	18.4	19.85	35.5	70.95	82.1	159.65	69	94.05	18.65
PAPOLG	444.1	672.86	723.36	893.88	670.88	599.02	710.72	528.84	563.5	641.72
PAPPA	9491.04545454545	2024.87272727273	4630.00909090909	11343.5454545455	8935.21818181818	11940.7636363636	9437.04545454545	7412.4	11206.7181818182	11217.1090909091
PAPPA2	175.25	372.75	204.175	162.65	115.4	232.725	406.275	267.575	484.325	260.125
PAPSS1	15935.7	14381.5	16383.1	14711.4	14549.5	11596.2	9847.5	13746.4	15017.8	14198.4
PAPSS2	6761.83333333333	7727.13333333333	7454.03333333333	8711.6	11215.1333333333	6308.73333333333	6040.63333333333	5176.43333333333	6066.6	6512.2
PAQR3	1155.65	1189.2	980.4	1111.15	1308.75	680.7	405.75	1078.9	788.65	986.5
PAQR4	661.3	430.6	573.8	644.2	411.1	349.2	738.7	421.6	218.7	458
PAQR5	209	59.15	382.35	269.45	79.25	368.85	536.7	72.85	662.15	105.6
PAQR6	111.1	39.9	307.2	31.5	221.8	462.5	580.1	205.6	204.9	215.2
PAQR7	374	413.8	704.5	561.5	393.3	1001.6	597.1	373.4	685.1	297.7
PAQR8	475.7	488.95	468.05	709.65	453.85	400.25	466.7	508.05	522.9	566.1
PAQR9	62.6	21.85	16.6	15.2	7.95	95.95	273.45	110.65	93.25	55.3
PARD3	853.325	992.3	681.25	944.75	614.8	956	979.525	809.325	1186.025	913.275
PARD3-AS1	25.1	128.4	21.5	70.3	104.8	12	124.6	80	87.9	11.7
PARD3B	306.8	215.48	432.56	511.88	203.96	184.68	281.42	280.34	243.78	248.7
PARD6A	238.2	193.3	236.4	301.9	211.2	283.6	436.2	219.3	229.2	168.8
PARD6B	8.36666666666667	13.3666666666667	58.6	30.0666666666667	31.0333333333333	63.6666666666667	60.3	41.5666666666667	39.2666666666667	30.7
PARD6G	539.866666666667	348.433333333333	243.433333333333	280.566666666667	403.2	392.466666666667	824.933333333333	416.966666666667	409.2	402.033333333333
PARD6G-AS1	256.6	320	59	225.1	199	239.7	1152.1	235.5	204.7	317.6
PARG	714.5	835.7	1165.4	970.4	1197.4	1178.9	1064.1	474.7	679.6	770.9
PARK2	103.833333333333	103.266666666667	69.2333333333333	93.2333333333333	126.566666666667	87.9666666666667	156.2	108.566666666667	162.333333333333	117.833333333333
PARK7	37056.9	31245.6	37213.8	33607.8	36969	31629.5	34044.8	35274.9	37725.5	34740.5
PARL	2340.3	2380.25	2830.3	2352.15	2824.25	2253.5	2020.35	1776	2419.4	2179.15
PARM1	154.75	148.6	81.7	134.7	170.55	284.25	428.85	55.85	256.6	115.2
PARN	2467.4	2652.1	2864.3	2623.3	2875.9	2231.4	2486.7	1970.4	1400.9	2266.5
PARP1	1718	2454.2	1822.7	2229	2264.6	1392.7	1278.6	1711.2	1780.9	2201.5
PARP10	553.125	423.1	336	439.1	280.4	363.8	438.975	332.6	182.425	351.3
PARP11	258.233333333333	289.5	235.6	213.8	247.333333333333	268.666666666667	406.033333333333	221.966666666667	296.666666666667	250.066666666667
PARP12	1236.2	1246.5	2055.3	2338.4	1715.8	1734.7	1265.2	1847.9	790.3	641.2
PARP14	634.25	452.75	1371.5	1398.65	705.8	768.45	484.6	902.1	341.7	353.5
PARP15	9.35	31	38.5	22.9	12.45	12.45	95.4	37.35	14.3	28.3
PARP16	1014.4	1010.1	665.8	630.6	539.9	1022.8	1518.1	549.5	1041.5	893
PARP2	1894.9	2163.46666666667	2242.6	2077.23333333333	2200.4	1702.6	1934.23333333333	1861.56666666667	2266.93333333333	2105.33333333333
