geneNames	GSM878095	GSM878096	GSM878097	GSM878098	GSM878099	GSM878100	GSM878101	GSM878102	GSM878103	GSM878104	GSM878105	GSM878106	GSM878107	GSM878108
CAMSAP1	541.942857142857	609.871428571429	457.328571428571	384.814285714286	540.985714285714	496.314285714286	454.828571428571	478.242857142857	555.471428571429	370.757142857143	450.585714285714	377.014285714286	432.028571428571	423.614285714286
CAMSAP2	2342.9	2729.9	2718.6	2883.8	2624.56666666667	4561.4	3832.66666666667	3632.13333333333	3712.33333333333	2957	2405.46666666667	2443.53333333333	2058	2532.26666666667
CAMSAP3	20.65	26.65	16.4	20.1	18.65	91.2	22.25	38.05	72.6	33.75	403.2	50.2	11.9	37.5
CAMTA1	2861.71666666667	2477.16666666667	2867.86666666667	3162.05	2832.23333333333	2833.25	4075.43333333333	3300.5	3505.53333333333	2567.03333333333	3019.76666666667	2543.65	3622.83333333333	3005.81666666667
CAMTA2	1810.8	4597.4	438.8	1123.2	1074.1	1725	1082.9	1292.1	1392.7	3292.6	3378	3761.4	2944.2	3359.1
CAND1	2267.31428571429	2223.3	2064.92857142857	2288.98571428571	2313.87142857143	1887.4	2005.52857142857	2012.4	2544.28571428571	1725.18571428571	1519.32857142857	1780.48571428571	1934.95714285714	1986.87142857143
CAND1.11	16.3	60.9	9	8.4	15.5	17.7	22	9	8	27.5	123.7	13.1	43.1	21.7
CAND2	422.05	192.6	410.05	900.7	408.2	274.25	488.45	306.75	402.9	334.9	570.6	328.2	338.3	407.4
CANT1	2197.86666666667	2563.96666666667	1723.8	1804.03333333333	1899.7	1907.06666666667	2028.76666666667	2091.2	1705.53333333333	2166.5	1586.56666666667	2328.96666666667	1663.1	1938.26666666667
CANX	7770.32	9467.2	8768.92	8036.9	8580.6	7497.86	6561.16	9594.38	8693.64	8409.68	7029.16	10113.1	12259.58	8427.12
CAP1	18231.55	25299.25	21338.05	14992.1	29216.55	26830.6	34398.45	33532.35	29961.7	21372.65	21046.9	28053.3	15513.4	25075.35
CAP2	2284.75	3313.1	1994.35	2634.5	4353.45	2359.85	3057.15	2776.65	3383.95	1892.6	1076.65	2259.15	1153.4	1614.5
CAPG	2559.8	4334	3221.8	4159.8	1862	796.4	2531	1388.8	1675.8	2288.1	2336.6	5435.6	1413.6	3356.8
CAPN1	682.2	1143.6	698.75	746.85	717.1	674.9	520.4	428.65	491.15	1113.4	921.1	1388.3	718.05	724.9
CAPN10	151.25	136.35	62.1	116.3	104.55	63.1	57.75	58.4	13.4	168.3	385.55	267.1	123.35	352.15
CAPN10-AS1	96.8	23.7	109.9	218.9	165.1	65.4	124.9	11.1	180.2	102.9	180.4	113.4	18.5	19.8
CAPN11	12.2	77.4	47	23.1	57.6	170.9	30.5	118.5	83.1	26.1	114	59.6	45.5	23.8
CAPN12	71.6	31.9	33	92.2	93.5	75.6	67.5	17	30.2	12.4	77.2	136.2	23.2	23.7
CAPN13	127.3	101.433333333333	65.5333333333333	100.5	120.833333333333	78.0666666666667	54.7666666666667	53.0666666666667	33.7	30.3333333333333	461.166666666667	23.5333333333333	37.7	26.4333333333333
CAPN14	3.3	76.8	19.5	69.1	9.9	69.3	20.3	4.5	56.8	74.5	172	95.5	4.3	15.8
CAPN15	283.8	442.25	203.8	199.85	278.25	175.4	72.4	133.75	133.85	562.9	606.25	562.6	580.7	444.6
CAPN2	17015.45	16628.55	12564	15138.15	21545.3	14729.4	19576.65	21009.45	20698.95	11917.15	14691.6	19690.15	11674.75	15094.55
CAPN3	97.9	120.133333333333	170.1	144.866666666667	162.033333333333	332.733333333333	85.5333333333333	164.6	121.7	178.266666666667	149.933333333333	92.7	115.733333333333	76.9666666666667
CAPN5	561.3	452.65	473.4	443.5	424.9	367.35	455.25	261.3	455.3	594.7	679.15	890.1	856.95	814.15
CAPN6	16.6	34.0666666666667	17.4666666666667	13.0666666666667	32.6666666666667	5.46666666666667	34.5	24.2	13.7333333333333	66.0666666666667	88	25.5	132.6	58.3333333333333
CAPN7	2142.15	2312.25	2153.8	2012.2	2579.75	2312.3	1848.1	1953.3	2294.3	1111.3	1769.15	1793.15	2286.25	1891.9
CAPN8	52.1	101	87.9	80.6	142	58.3	13.1	49.4	25	109.6	402.9	104.4	77.9	72.4
CAPN9	140.4	56.9	82.1	73.55	124.55	21.7	33.45	54.2	65.5	24.95	199.1	17	128.45	94.75
CAPNS1	18953.5	21532.6	20136.9	16499.3	20609.1	5330.7	9580	10757.4	8618.7	18075	16372.8	30977.8	18543.8	22862
CAPNS2	190.9	293.5	177.4	161.1	304	18.7	128.6	328.6	151.8	259.3	423.8	67.7	264.9	258
CAPRIN1	5607.7875	6184.1	5783.5	5452.6625	5993.0375	4375.3625	5760.9	5654.6	5670.575	4637.6875	3177.25	5356.5875	6073.8	5921.025
CAPRIN2	1640.2	1855.35	3338.15	1775.55	2491.1	1801.95	1624.55	1369.4	1730.05	1638.2	1785.75	1437	1091.05	1350.1
CAPS	149.9	162.35	196.1	135.775	151.575	144.4	164.525	229.1	230.375	239.35	378.2	216.725	361.875	168.775
CAPS2	267.25	101.25	202.65	209.3	125.35	231.1	434.4	219.65	110.8	203.4	164.55	152.35	251.4	161.75
CAPSL	15.2	34.4	15.6	26.6	15.2	7.3	130.7	81.8	56.9	173.4	407.8	10.3	55.4	108.6
CAPZA1	10286.75	6784.95	10284.55	10297.25	8820.95	9830.85	13670.15	13873.2	14177.65	9736.85	8482.15	9235	8232.45	8409.35
CAPZA2	6591	6219.46666666667	8328.26666666667	7590.53333333333	9064	8580.13333333333	10105.6666666667	10000.6333333333	11449.3333333333	6229.76666666667	7208.66666666667	7181.26666666667	5938.06666666667	6913.4
CAPZA3	77.2	52.8	35.6	36.2	94.1	3	29.7	38.9	36.9	63.1	189	13.5	63.1	94.7
CAPZB	12393.725	15531.225	14764.425	14249.2	12856	7542.1	11932.475	12216.625	8378.15	13362.125	15640.25	16608.225	14382.525	16341.25
CARD10	514.733333333333	330.166666666667	994.166666666667	719.333333333333	628.2	478.2	1025.96666666667	657.133333333333	893.866666666667	368.4	343.733333333333	849	366.366666666667	442.533333333333
CARD11	49.65	26.15	58.65	171.45	71.4	167.85	25.45	34.55	54.2	59.9	178.35	47.25	133.5	97
CARD14	58.5166666666667	46.1666666666667	42.6833333333333	60.7833333333333	48.8166666666667	49.0333333333333	54.6666666666667	97.2333333333333	54.8666666666667	46.8833333333333	289.483333333333	69.3166666666667	82.8833333333333	63.6
CARD16	92.3	103.75	407.25	117.25	154.85	93.1	171.9	88.4	185.8	118.2	152.95	177.85	135.3	38.15
CARD18	3.2	58.5	63.3	23.9	109.1	73.4	60.8	68.9	42.6	108.4	88.6	3.1	128.1	23.4
CARD6	1232.1	925.7	1552.5	1376.4	1457	497.8	1127.2	1253.3	1992.2	252.2	223.8	626	145.7	518
CARD8	317.325	318.825	447.775	463.95	386.325	438.5	492.7	397.525	448.075	345.65	321.325	346.025	402.325	180.525
CARF	351.55	171.7	229.75	203.8	155.25	169.2	113.5	149.05	175.1	215.4	258.15	130.7	234.9	149.15
CARHSP1	1328.75	1515.35	1175.75	831.425	748.925	1374.55	1026.45	1181.05	711.15	1335.025	1246.15	1016.325	889.75	956.35
